Afghanistan,0,0
Albania,3,5
Algeria,1,1
Andorra,0,0
Angola,1,2
Antigua-and-Barbuda,0,0
Argentina,2,4
Armenia,3,6
Australia,4,8
Austria,3,5
Azerbaijan,3,6
Bahamas,0,0
Bahrain,1,1
Bangladesh,4,7
Barbados,2,3
Belarus,3,6
Belgium,3,5
Belize,0,0
Benin,0,0
Bhutan,0,0
Bolivia,2,4
Bosnia-and-Herzegovina,3,5
Botswana,1,2
Brazil,2,4
Brunei,0,0
Bulgaria,3,5
Burkina-Faso,1,2
Burma,0,0
Burundi,1,2
Cambodia,4,8
Cameroon,0,0
Canada,2,3
Cape-Verde,0,0
Central-African-Republic,0,0
Chad,1,2
Chile,2,4
China,4,8
Colombia,2,4
Comoros,0,0
Congo-(Brazzaville),0,0
Congo-(Kinshasa),1,2
Costa-Rica,2,3
Cote-d'Ivoire,1,2
Croatia,3,5
Cuba,0,0
Cyprus,3,5
Czech-Republic,0,0
Denmark,3,5
Djibouti,0,0
Dominica,0,0
Dominican-Republic,2,3
Ecuador,2,4
Egypt,1,1
El-Salvador,2,3
Equatorial-Guinea,0,0
Eritrea,0,0
Estonia,3,5
Ethiopia,1,2
Fiji,0,0
Finland,3,5
France,3,5
Gabon,0,0
Gambia,0,0
Georgia,3,6
Germany,3,5
Ghana,1,2
Greece,3,5
Grenada,0,0
Guatemala,2,3
Guinea,0,0
Guinea-Bissau,0,0
Guyana,2,4
Haiti,2,3
Holy-See,0,0
Honduras,2,3
Hungary,3,5
Iceland,0,0
India,4,7
Indonesia,4,8
Iran,0,0
Iraq,0,0
Ireland,3,5
Israel,1,1
Italy,3,5
Jamaica,2,3
Japan,4,8
Jordan,1,1
Kazakhstan,3,6
Kenya,1,2
Kiribati,0,0
Korea--North,0,0
Korea--South,4,8
Kosovo,0,0
Kuwait,0,0
Kyrgyzstan,3,6
Laos,4,8
Latvia,3,5
Lebanon,1,1
Lesotho,1,2
Liberia,0,0
Libya,0,0
Liechtenstein,0,0
Lithuania,3,5
Luxembourg,3,5
Macedonia,3,5
Madagascar,0,0
Malawi,0,0
Malaysia,4,8
Maldives,0,0
Mali,1,2
Malta,3,5
Marshall-Islands,0,0
Mauritania,0,0
Mauritius,1,2
Mexico,2,3
Micronesia,0,0
Moldova,3,6
Monaco,3,5
Mongolia,4,8
Montenegro,3,5
Morocco,0,0
Mozambique,1,2
Namibia,0,0
Nauru,0,0
Nepal,4,7
Netherlands,3,5
New-Zealand,4,8
Nicaragua,2,3
Niger,1,2
Nigeria,1,2
Norway,3,5
Oman,1,1
Pakistan,4,7
Palau,0,0
Panama,2,3
Papua-New-Guinea,0,0
Paraguay,2,4
Peru,2,4
Philippines,4,8
Poland,3,5
Portugal,3,5
Qatar,1,1
Romania,3,5
Russia,3,6
Rwanda,0,0
Saint-Kitts-and-Nevis,2,3
Saint-Lucia,2,3
Saint-Vincent-and-the-Grenadines,2,3
Samoa,0,0
San-Marino,0,0
Sao-Tome-and-Principe,0,0
Saudi-Arabia,0,0
Senegal,0,0
Serbia,3,5
Seychelles,0,0
Sierra-Leone,1,2
Singapore,4,8
Slovakia,3,5
Slovenia,3,5
Solomon-Islands,0,0
Somalia,0,0
South-Africa,1,2
South-Sudan,0,0
Spain,3,5
Sri-Lanka,4,7
Sudan,0,0
Suriname,0,0
Swaziland,1,2
Sweden,3,5
Switzerland,3,5
Syria,1,1
Taiwan,0,0
Tajikstan,3,6
Tanzania,1,2
Thailand,4,8
Timor-Leste,0,0
Togo,1,2
Tonga,0,0
Trinidad-and-tOBAGO,2,3
Tunisia,1,1
Turkey,3,5
Turkmenistan,0,0
Tuvalu,0,0
Uganda,1,2
Ukraine,3,6
United-Arab-Emirates,1,1
United-Kingdom,3,5
United-States,2,3
Uruguay,2,4
Uzbekistan,3,6
Vanuatu,0,0
Venezuela,2,4
Vietnam,4,8
Yemen,1,1
Zambia,1,2
Zimbabwe,1,2
