Afghanistan,8
Albania,33
Algeria,34
Andorra,0
Angola,22
Antigua & Barbuda,0
Argentina,35
Armenia,34
Australia,85
Austria,69
Azerbaijan,27
Bahamas,71
Bahrain,51
Bangladesh,26
Barbados,76
Belarus,31
Belgium,75
Belize,0
Benin,36
Bhutan,63
Bolivia,34
Bosnia & Herzegovina,42
Botswana,65
Brazil,43
Brunei Darussalem,55
Bulgaria,41
Burkina Faso,38
Burma,0
Burundi,19
Cambodia,22
Cameroon,26
Canada,84
Cape Verde,60
Central African Republic,26
Chad,19
Chile,72
China,39
Columbia,36
Comoros,28
Congo,26
"Congo, Democratic Republic of",21
Costa Rica,54
Cote d'Ivoire,29
Croatia,46
Cuba,48
Cyprus,66
Czech Republic,49
Denmark,90
Djibouti,36
Dominica,58
Dominican Republic,32
Ecuador,32
Egypt,32
El Salvador,38
Equatorial Guinea,20
Eritrea,25
Estonia,64
Ethiopia,33
Fiji,0
Finland,90
France,71
Gabon,35
Gambia,34
Georgia,52
Germany,79
Ghana,45
Grenada,0
Greece,36
Guatamala,33
Guinea,24
Guinea-Bissau,25
Guyana,28
Haiti,19
Holy See (Vatican City),0
Honduras,28
Hungary,55
Iceland,82
India,36
Indonesia,32
Iran,28
Iraq,18
Ireland,69
Israel,60
Italy,42
Jamaica,38
Japan,74
Jordan,48
Kazakhstan,28
Kenya,27
Kiribati,0
"Korea, North",8
"Korea, South",56
Kosovo,34
Kuwait,44
Kyrgyzstan,24
Laos,21
Latvia,49
Lebanon,30
Lesotho,45
Liberia,41
Libya,21
Liechtenstein,0
Lithuania,54
Luxembourg,80
Macedonia,43
Madagascar,32
Malawi,37
Malaysia,49
Maldives,0
Mali,34
Malta,57
Marshall Islands,0
Mauritania,31
Mauritius,57
Mexico,34
Micronesia,0
Moldova,36
Monaco,0
Mongolia,36
Montenegro,41
Morocco,37
Mozambique,31
Namibia,48
Nauru,0
Nepal,27
Netherlands,84
New Zealand,90
Nicaragua,29
Niger,33
Nigeria,27
Norway,85
Oman,47
Pakistan,27
Palau,0
Panama,38
Papua New Guinea,25
Paraguay,25
Peru,38
Phillipines,34
Poland,58
Portugal,63
Qatar,68
Romania,44
Russia,28
Rwanda,53
St. Kitts & Nevis,0
St. Lucia,71
St. Vincent & The Grenadines,62
Samao,0
San Marino,0
Sao Tome & Principe,42
Saudi Arabia,44
Senegal,36
Serbia,39
Seychelles,52
Sierra Leone,31
Singapore,87
Slovakia,46
Slovenia,61
Solomon Islands,0
Somalia,8
South Africa,43
South Sudan,0
Spain,65
Sri Lanka,40
Sudan,13
Suriname,37
Swaziland,37
Sweden,88
Switzerland,86
Syria,26
Taiwan,61
Tajikistan,22
Tanzania,35
Thailand,37
Timor-Leste,33
Togo,30
Tonga,0
Trinidad & Tobago,39
Tunisia,41
Turkey,49
Turkmenistan,17
Tuvalu,0
Uganda,29
Ukraine,26
United Arab Emirates,68
United Kingdom,74
United States,73
Uruguay,72
Uzbekistan,17
Vanuatu,0
Venezuela,19
Vietnam,31
Yemen,23
Zambia,37
Zimbabwe,20
